Street_ID,Full_Street_Name,Risk_Score_Below15,Bus_Stops,Local_Business,GoodRoadRating,FairRoadRating,PoorRoadRating,SewerConfl,Engineerin,NationalGr,ProjectInPastFiveYears,Length_0to100,Length_101to200,Length_201to300,Length_301to400,Length_401to500,Length_501OrMore,PrimaryRoad,SecondaryRoad,LocalRoad
12578195,1699 E GENESEE ST,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12580600,1510 COURT ST,1,1,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12572013,115 VALLEY DR,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13002524,999 S STATE ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12581015,2431 JAMES ST,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12580288,1998 GRANT BLVD,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12580599,1498 COURT ST,1,1,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12581020,2517 JAMES ST,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12576609,4613 S SALINA ST,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12576604,217 E SENECA TPKE,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12577701,511 S STATE ST,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12581013,2339 JAMES ST,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12579371,3699 E GENESEE ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12571927,799 VALLEY DR,1,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12581014,2399 JAMES ST,0,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12576505,5399 S SALINA ST,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12575518,998 COURT ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12581019,2499 JAMES ST,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
13002104,4999 S SALINA ST,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12575155,1399 N STATE ST,1,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12580598,1417 COURT ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13002510,109 PAVILION TER,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13002527,214 TOWERS LN,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12580356,1399 JAMES ST,1,1,0,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,1,0,0
13001973,3999 E GENESEE ST,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
12576522,5318 S SALINA ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12573186,1009 SOUTH AVE,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12581247,3545 JAMES ST,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12577705,399 S STATE ST,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12572831,1623 W GENESEE ST,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12578036,899 ERIE BLVD E,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12573449,1399 ERIE BLVD W,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12573976,799 N STATE ST,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12571774,1315 VALLEY DR,1,1,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12579668,5899 THOMPSON RD,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12577702,499 S STATE ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12577699,599 S STATE ST,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12576774,199 E CALTHROP AVE,1,0,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0
12581070,2599 JAMES ST,1,1,1,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,1,0,0
12581005,2316 JAMES ST,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
12571725,697 W SENECA TPKE,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12574847,1311 MILTON AVE,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12576749,3727 S SALINA ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12577240,2199 S SALINA ST,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12580570,1329 COURT ST,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
12580607,1798 COURT ST,1,1,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12575280,309 COURT ST,1,1,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,1,0,0
12579557,3608 E GENESEE ST,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
12577813,805 E GENESEE ST,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12578255,1299 ERIE BLVD E,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
12576843,3299 S SALINA ST,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13002333,499 ERIE BLVD W,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12572123,1317 SOUTH AVE,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12575269,2399 LODI ST,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576763,3699 S SALINA ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12576527,5198 S SALINA ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12575281,399 COURT ST,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12575528,899 WOLF ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12571729,719 W SENECA TPKE,1,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12573174,1159 SOUTH AVE,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12575501,810 WOLF ST,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12580662,1899 COURT ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12580410,1599 JAMES ST,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12564388,5899 S SALINA ST,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12581075,2789 JAMES ST,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
12577345,199 E RAYNOR AVE,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12576621,297 E SENECA TPKE,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12577660,911 S STATE ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12578148,1399 E GENESEE ST,1,1,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12577236,2299 S SALINA ST,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
12571932,699 VALLEY DR,1,0,0,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,0,0
12572071,1799 SOUTH AVE,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12580331,1199 JAMES ST,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13002516,1239 S STATE ST,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13002515,120 TOWERS LN,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12571781,999 VALLEY DR,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12572121,1431 SOUTH AVE,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12580671,2199 COURT ST,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12580670,2099 COURT ST,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12576834,2525 S SALINA ST,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
12576523,5226 S SALINA ST,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
